gap_duration,contrast,n_flashes,response,rt,subject
0,1,1,0,0.83203125,1
14,0.5,2,0,1.21484375,1
56,1,2,0,2.537109375,1
21,0.5,2,0,1.546875,1
0,1,1,0,1.11328125,1
0,0.5,1,0,1.0625,1
0,1,1,0,1.009765625,1
0,0.5,1,0,0.8359375,1
0,1,1,0,0.666015625,1
28,1,2,1,1.697265625,1
0,0.5,1,0,0.748046875,1
0,1,1,0,0.8671875,1
7,1,2,0,0.671875,1
7,0.5,2,0,0.740234375,1
0,0.5,1,0,0.525390625,1
28,1,2,1,1.302734375,1
14,0.5,2,0,1.337890625,1
0,1,1,0,0.732421875,1
0,1,1,0,0.51171875,1
56,0.5,2,1,0.83984375,1
49,1,2,1,0.87890625,1
42,0.5,2,1,1.041015625,1
56,0.5,2,1,0.966796875,1
0,0.5,1,0,0.921875,1
0,0.5,1,0,0.91015625,1
7,0.5,2,0,0.755859375,1
35,1,2,1,0.80859375,1
35,1,2,1,0.86328125,1
28,1,2,1,0.91796875,1
0,1,1,0,0.982421875,1
0,0.5,1,0,1.125,1
42,0.5,2,1,1.001953125,1
14,1,2,1,0.94921875,1
21,1,2,1,0.8515625,1
0,0.5,1,0,0.76171875,1
7,0.5,2,0,1.236328125,1
14,0.5,2,1,0.962890625,1
35,0.5,2,1,0.859375,1
0,0.5,1,0,0.884765625,1
49,0.5,2,1,0.80859375,1
42,0.5,2,1,0.822265625,1
49,1,2,1,0.86328125,1
42,0.5,2,1,0.77734375,1
28,1,2,1,0.841796875,1
7,1,2,0,0.83203125,1
0,1,1,0,0.748046875,1
0,0.5,1,0,0.697265625,1
35,0.5,2,1,0.830078125,1
42,1,2,1,1.7421875,1
0,0.5,1,0,0.703125,1
56,0.5,2,1,0.75,1
56,1,2,1,0.71484375,1
0,0.5,1,0,0.6875,1
21,0.5,2,1,0.98046875,1
7,0.5,2,0,0.77734375,1
7,0.5,2,0,0.685546875,1
0,1,1,0,0.671875,1
0,0.5,1,0,0.62109375,1
0,1,1,0,0.751953125,1
7,0.5,2,0,0.51171875,1
42,0.5,2,1,0.72265625,1
7,1,2,0,0.630859375,1
7,0.5,2,0,0.498046875,1
49,1,2,1,0.93359375,1
0,0.5,1,0,0.5859375,1
56,1,2,1,0.8046875,1
42,0.5,2,1,1.025390625,1
0,0.5,1,0,0.662109375,1
49,0.5,2,1,0.763671875,1
0,1,1,0,0.75,1
0,0.5,1,0,0.50390625,1
0,1,1,0,0.734375,1
0,1,1,0,0.865234375,1
0,0.5,1,0,0.61328125,1
56,1,2,1,0.69140625,1
56,0.5,2,1,0.76953125,1
7,1,2,0,0.705078125,1
0,1,1,0,0.654296875,1
0,0.5,1,0,0.59765625,1
0,0.5,1,0,0.6484375,1
0,1,1,0,0.59765625,1
0,0.5,1,0,0.529296875,1
0,0.5,1,0,0.48046875,1
56,0.5,2,1,0.900390625,1
28,0.5,2,1,0.748046875,1
0,0.5,1,0,0.701171875,1
0,0.5,1,0,0.67578125,1
21,1,2,1,0.736328125,1
0,1,1,0,0.630859375,1
14,1,2,1,0.982421875,1
0,1,1,0,0.640625,1
14,1,2,1,0.802734375,1
0,1,1,0,0.701171875,1
35,1,2,1,0.80078125,1
56,1,2,1,0.787109375,1
0,1,1,0,0.6953125,1
14,1,2,1,0.96484375,1
0,0.5,1,0,0.65625,1
0,0.5,1,0,0.71875,1
35,1,2,1,0.763671875,1
28,0.5,2,1,0.8046875,1
56,1,2,1,0.775390625,1
14,0.5,2,1,1.412109375,1
0,1,1,0,0.669921875,1
0,0.5,1,0,0.65625,1
14,1,2,1,0.728515625,1
0,1,1,0,0.666015625,1
7,1,2,0,0.72265625,1
0,0.5,1,0,0.615234375,1
0,1,1,0,0.65625,1
28,1,2,1,0.7578125,1
0,0.5,1,0,0.576171875,1
28,0.5,2,1,0.7734375,1
28,0.5,2,1,0.802734375,1
28,0.5,2,1,1.234375,1
49,1,2,1,0.8125,1
56,1,2,1,0.73046875,1
0,1,1,0,0.888671875,1
56,0.5,2,1,0.6953125,1
7,1,2,0,0.83203125,1
49,1,2,1,0.859375,1
0,1,1,0,0.7109375,1
35,0.5,2,1,0.6484375,1
49,1,2,1,0.728515625,1
49,1,2,1,0.8671875,1
7,1,2,0,0.5859375,1
7,1,2,0,0.662109375,1
0,0.5,1,0,0.57421875,1
0,1,1,0,0.4453125,1
14,0.5,2,1,0.814453125,1
0,1,1,0,1.16015625,1
0,0.5,1,0,0.689453125,1
49,0.5,2,1,0.7734375,1
0,1,1,0,0.47265625,1
7,1,2,0,0.740234375,1
49,0.5,2,1,0.693359375,1
49,1,2,1,0.673828125,1
0,1,1,0,0.650390625,1
0,1,1,0,0.65625,1
0,0.5,1,0,0.517578125,1
49,0.5,2,1,0.689453125,1
0,0.5,1,0,1.111328125,1
0,0.5,1,0,0.658203125,1
49,0.5,2,1,0.779296875,1
7,1,2,0,0.576171875,1
49,0.5,2,1,0.830078125,1
0,1,1,0,0.564453125,1
28,1,2,1,0.77734375,1
0,0.5,1,0,0.611328125,1
0,1,1,0,0.599609375,1
0,0.5,1,0,0.802734375,1
21,1,2,1,0.7265625,1
42,0.5,2,1,0.767578125,1
0,1,1,0,0.740234375,1
