,id,block_id,trial_id,stimulus,response,reaction_time,timestamp,participant_id,d1,ado_type,corr_esp_trial
0,1,1,2,"[17, 67, 38, 48, 48, 62, 63, 49]",>,1295.0,2024-11-13 19:46:21.134983,1,4,default,
1,2,1,3,"[62, 17, 51, 62, 59, 44, 43, 30]",<,814.0,2024-11-13 19:46:26.911767,1,2,default,
2,3,1,4,"[76, 34, 40, 65, 61, 35, 39, 42]",<,279.0,2024-11-13 19:46:32.081075,1,4,default,
3,4,1,5,"[59, 56, 53, 39, 50, 58, 95, 62]",>,817.0,2024-11-13 19:46:37.833145,1,9,default,
4,5,1,6,"[24, 42, 55, 58, 54, 64, 20, 51]",>,592.0,2024-11-13 19:46:43.331625,1,2,default,
5,6,1,2,"[66, 25, 63, 73, 61, 58, 38, 64]",>,709.0,2024-11-13 19:47:37.080799,3,8,default,
6,7,1,3,"[28, 51, 61, 70, 32, 66, 65, 59]",>,986.0,2024-11-13 19:47:43.022911,3,7,default,
7,8,1,4,"[54, 30, 77, 48, 34, 59, 51, 31]",>,1250.0,2024-11-13 19:47:49.196250,3,3,default,
8,9,1,5,"[39, 54, 46, 67, 71, 41, 36, 78]",<,703.0,2024-11-13 19:47:54.811057,3,7,default,
9,10,1,6,"[57, 44, 40, 45, 59, 87, 40, 44]",>,642.0,2024-11-13 19:48:00.389201,3,6,default,
10,11,1,7,"[28, 76, 51, 60, 56, 37, 33, 43]",<,590.0,2024-11-13 19:48:05.898263,3,3,default,
11,12,1,8,"[65, 23, 46, 47, 54, 34, 16, 43]",<,1434.0,2024-11-13 19:48:12.273103,3,0,default,
12,13,1,9,"[51, 53, 26, 44, 26, 71, 60, 37]",>,2.0,2024-11-13 19:48:17.228334,3,2,default,
13,14,1,10,"[43, 57, 49, 29, 58, 59, 79, 34]",<,52.0,2024-11-13 19:48:22.265206,3,5,default,
14,15,1,2,"[34, 59, 30, 45, 29, 41, 76, 38]",>,41281.0,2024-11-13 20:03:40.997131,4,1,default,
15,16,1,3,"[85, 48, 60, 40, 38, 60, 40, 61]",>,888.0,2024-11-13 20:03:46.822582,4,7,default,
16,17,1,4,"[66, 65, 27, 50, 40, 64, 45, 27]",>,535.0,2024-11-13 20:03:52.318290,4,3,default,
17,18,1,5,"[70, 27, 46, 21, 43, 51, 60, 50]",>,60.0,2024-11-13 20:03:57.358040,4,2,default,
18,19,1,6,"[27, 65, 43, 58, 58, 75, 46, 36]",<,625.0,2024-11-13 20:04:02.930852,4,5,default,
19,20,1,7,"[73, 48, 49, 45, 28, 48, 48, 77]",>,273.0,2024-11-13 20:04:08.121523,4,6,default,
20,21,1,8,"[46, 73, 49, 40, 21, 54, 58, 67]",>,654.0,2024-11-13 20:04:13.699844,4,5,default,
21,22,1,9,"[57, 64, 79, 50, 58, 83, 46, 35]",<,221.0,2024-11-13 20:04:18.835512,4,9,default,
22,23,1,10,"[49, 43, 30, 83, 50, 48, 45, 68]",>,771.0,2024-11-13 20:04:24.575463,4,6,default,
23,24,1,2,"[48, 68, 32, 49, 34, 63, 77, 45]",<,211.0,2024-11-13 20:14:24.722994,6,6,default,
24,25,1,3,"[16, 22, 46, 50, 36, 42, 49, 67]",>,326.0,2024-11-13 20:14:29.959386,6,0,default,
25,26,1,2,"[43, 43, 31, 26, 52, 67, 66, 64]",>,1399.0,2024-11-13 20:19:00.182530,8,4,default,
26,27,1,2,"[51, 35, 65, 66, 54, 47, 17, 49]",>,1030.0,2024-11-13 20:21:08.582425,9,3,default,
27,28,1,2,"[60, 65, 55, 44, 64, 21, 67, 40]",<,1558.0,2024-11-13 20:27:27.601329,11,6,default,
28,29,1,3,"[80, 62, 69, 46, 65, 48, 31, 71]",>,278.0,2024-11-13 20:27:34.337689,11,9,default,
29,30,1,4,"[37, 30, 45, 45, 40, 31, 44, 80]",<,253.0,2024-11-13 20:27:39.548593,11,1,default,
30,31,1,5,"[47, 56, 69, 54, 45, 70, 55, 20]",>,244.0,2024-11-13 20:27:44.737353,11,6,default,
31,32,1,6,"[49, 50, 83, 36, 46, 64, 55, 33]",<,1003.0,2024-11-13 20:27:50.664914,11,6,default,
32,33,1,7,"[51, 54, 48, 23, 40, 70, 36, 70]",>,168.0,2024-11-13 20:27:55.762913,11,4,default,
33,34,1,8,"[57, 31, 42, 49, 21, 58, 28, 66]",<,150.0,2024-11-13 20:28:00.856046,11,1,default,
34,35,1,9,"[37, 28, 49, 66, 48, 28, 18, 54]",>,863.0,2024-11-13 20:28:06.635643,11,0,default,
35,36,1,10,"[40, 76, 63, 46, 36, 46, 53, 24]",>,866.0,2024-11-13 20:28:12.422332,11,3,default,
36,37,1,2,"[65, 61, 60, 81, 25, 62, 68, 50]",>,508.0,2024-11-13 20:29:00.264491,12,9,default,
37,38,1,2,"[77, 30, 42, 43, 35, 55, 62, 64]",>,643.0,2024-11-13 20:50:53.269401,13,5,default,
38,39,1,3,"[66, 71, 67, 52, 29, 33, 42, 48]",>,1312.0,2024-11-13 20:51:03.869170,13,5,default,
39,40,1,4,"[47, 30, 61, 51, 52, 44, 32, 11]",>,342.0,2024-11-13 20:51:09.167529,13,0,default,
40,41,1,5,"[32, 57, 78, 69, 70, 53, 50, 39]",>,6408.0,2024-11-13 20:51:25.116540,13,8,default,
41,42,1,6,"[59, 48, 21, 48, 62, 33, 57, 24]",<,12.0,2024-11-13 20:51:30.061933,13,1,default,
42,43,1,7,"[30, 44, 65, 64, 73, 57, 59, 80]",<,16.0,2024-11-13 20:51:35.049823,13,9,default,
43,44,1,8,"[39, 54, 60, 59, 21, 63, 70, 42]",<,871.0,2024-11-13 20:51:40.855862,13,5,default,
44,45,1,9,"[27, 62, 81, 55, 54, 61, 40, 52]",<,149.0,2024-11-13 20:51:45.919840,13,7,default,
45,46,1,10,"[46, 38, 33, 58, 59, 66, 63, 21]",<,349.0,2024-11-13 20:51:51.239816,13,3,default,
46,47,1,2,"[46, 44, 30, 59, 78, 64, 55, 32]",>,19.0,2024-11-13 20:53:21.216972,14,5,default,
47,48,1,3,"[52, 41, 64, 23, 43, 55, 77, 53]",>,234.0,2024-11-13 20:53:26.374236,14,5,default,
48,49,1,4,"[63, 46, 72, 41, 28, 39, 55, 72]",>,117.0,2024-11-13 20:53:31.435888,14,6,default,
49,50,1,5,"[54, 52, 26, 81, 44, 47, 42, 38]",>,10518.0,2024-11-13 20:53:46.908206,14,3,default,
50,51,1,6,"[55, 41, 64, 47, 56, 29, 37, 79]",>,734.0,2024-11-13 20:53:52.613834,14,5,default,
51,52,1,7,"[55, 50, 65, 56, 52, 15, 48, 67]",>,763.0,2024-11-13 20:53:58.322463,14,5,default,
52,53,1,8,"[73, 40, 21, 47, 60, 45, 63, 43]",>,476.0,2024-11-13 20:54:03.748295,14,4,default,
53,54,1,9,"[25, 47, 52, 52, 28, 52, 64, 72]",>,118.0,2024-11-13 20:54:08.820202,14,4,default,
54,55,1,10,"[29, 59, 54, 31, 52, 62, 22, 59]",>,202.0,2024-11-13 20:54:13.949405,14,2,default,
55,56,1,2,"[63, 53, 65, 24, 31, 54, 49, 69]",>,852.0,2024-11-14 01:03:34.029823,18,5,default,
56,57,1,3,"[29, 72, 56, 35, 68, 63, 39, 46]",>,209.0,2024-11-14 01:03:39.145897,18,5,default,
57,58,1,4,"[78, 65, 29, 57, 39, 61, 45, 42]",>,553.0,2024-11-14 01:03:44.608323,18,6,default,
58,59,1,5,"[47, 22, 79, 40, 52, 47, 43, 54]",>,789.0,2024-11-14 01:03:50.312360,18,3,default,
59,60,1,6,"[45, 81, 63, 31, 53, 52, 50, 33]",>,1796.0,2024-11-14 01:04:18.665055,18,5,default,
60,61,1,2,"[51, 46, 40, 38, 69, 44, 82, 38]",>,446.0,2024-11-14 01:04:59.626545,18,5,default,
61,62,1,3,"[59, 40, 64, 32, 67, 25, 61, 60]",>,763.0,2024-11-14 01:05:05.306056,18,5,default,
62,63,1,4,"[62, 54, 53, 66, 25, 47, 73, 36]",>,29.0,2024-11-14 01:05:10.244645,18,6,default,
63,64,1,5,"[60, 58, 34, 45, 20, 67, 60, 40]",>,575.0,2024-11-14 01:05:15.726824,18,3,default,
64,65,1,2,"[52, 74, 34, 56, 60, 25, 62, 45]",>,2023.0,2024-11-14 01:13:12.237604,18,5,default,
65,66,1,3,"[17, 63, 50, 63, 54, 57, 64, 40]",>,1495.0,2024-11-14 01:13:18.658254,18,5,default,
66,67,1,2,"[59, 62, 70, 23, 59, 43, 34, 58]",>,2289.0,2024-11-14 01:14:57.448747,18,5,default,
67,68,1,3,"[43, 71, 48, 71, 64, 44, 37, 30]",>,7725.0,2024-11-14 01:15:16.223559,18,5,default,
68,69,1,4,"[24, 62, 51, 68, 45, 43, 48, 75]",>,1039.0,2024-11-14 01:15:22.164929,18,6,default,
69,70,1,2,"[55, 76, 24, 39, 54, 46, 50, 64]",>,1760.0,2024-11-14 01:15:31.968504,18,5,default,
70,71,1,2,"[70, 45, 63, 37, 61, 30, 36, 66]",>,1855.0,2024-11-14 01:17:01.791684,18,5,default,
71,72,1,3,"[37, 60, 36, 64, 39, 60, 35, 77]",>,372.0,2024-11-14 01:17:21.705524,18,5,default,
72,73,1,4,"[57, 56, 80, 51, 51, 58, 24, 39]",>,7210.0,2024-11-14 01:17:35.933680,18,6,default,
73,74,1,2,"[55, 84, 32, 56, 53, 44, 49, 35]",>,955.0,2024-11-14 01:18:12.472804,18,5,default,
74,75,1,2,"[63, 23, 64, 52, 69, 41, 60, 36]",>,1333.0,2024-11-14 01:20:41.131308,18,5,default,
75,76,1,3,"[50, 25, 65, 64, 28, 56, 66, 54]",>,1612.0,2024-11-14 01:20:55.933561,18,5,default,
76,77,1,2,"[55, 64, 17, 48, 57, 54, 42, 71]",>,2401.0,2024-11-14 01:22:18.331403,18,5,default,
77,78,1,2,"[37, 54, 74, 66, 40, 66, 35, 36]",>,907.0,2024-11-14 01:23:06.449839,18,5,default,
78,79,1,3,"[31, 76, 61, 66, 55, 44, 35, 40]",>,1415.0,2024-11-14 01:23:15.328107,18,5,default,
79,80,1,2,"[47, 57, 71, 61, 28, 49, 66, 29]",>,640.0,2024-11-14 01:23:55.560178,18,5,default,
80,81,1,3,"[80, 45, 43, 63, 47, 44, 60, 26]",>,1779.0,2024-11-14 01:24:03.517922,18,5,default,
81,82,1,4,"[55, 58, 48, 54, 36, 43, 36, 86]",>,1070.0,2024-11-14 01:24:09.495908,18,6,default,
82,83,1,2,"[78, 42, 36, 34, 60, 68, 45, 45]",>,1607.0,2024-11-14 01:28:24.057299,18,5,default,
83,84,1,2,"[62, 14, 46, 58, 59, 59, 51, 59]",>,1238.0,2024-11-14 01:29:25.136303,18,5,default,
84,85,1,3,"[66, 56, 40, 25, 35, 66, 67, 53]",>,1286.0,2024-11-14 01:29:31.328888,18,5,default,
85,86,1,4,"[65, 27, 37, 76, 44, 60, 47, 60]",>,1127.0,2024-11-14 01:29:37.375151,18,6,default,
86,87,1,2,"[20, 60, 56, 71, 37, 51, 62, 51]",>,1015.0,2024-11-14 01:47:09.039391,18,5,default,
